13
C00001,Fashion,"Shop fashion including clothing, shoes, jewelry, watches, bags and more"
C00003,Home and Kitchen,"Shop kitchen and dinning, bedding, bath, furniture, home décor and more"
C00004,Luggage and Travel Gear ,"Shop suitcases, carry-ons, backpacks, travel totes, kids luggage and more"
C00005,Arts and Crafts,"Shop art supplies including painting, drawing, crafting, scrapbooking, fabric and jewelry making"
C00006,Automotive,"Shop automotive, car care, car accessories, oils and fluids, tools, and replacement parts"
C00007,Beauty and Personal Care,"Shop makeup, skin care, hair care, fragrances and more"
C00008,Computers,"Shop laptops, desktops, monitors, tablets, PC gaming, hard drives and storage, accessories and more"
C00009,Electronics,"Shop home entertainment, TVs, home audio, headphones, cameras, accessories and more"
C00010,Movies and TV ,"Available now
The Perfect Gift of Movies and TV Shows
on Blu-ray, DVD, and 4K"
C00011,Toys and Games,"Shop action figures, arts and crafts, dolls, puzzles, learning toys and more"
C00012,Video Games,"Shop video games for Nintendo, PlayStation, Xbox and more"
